Serial Number,Class Name,Class ID,file name,Relative file path,Sampling rate(Hz),Audio Duration(sec)
1,black,1,black1,black\black1,44100,1.4338322
2,black,1,black2,black\black2,44100,1.625419501
3,black,1,black3,black\black3,44100,1.486099773
4,black,1,black4,black\black4,44100,4.040294785
5,black,1,black5,black\black5,44100,1.486099773
6,black,1,black6,black\black6,44100,1.486099773
7,black,1,black7,black\black7,44100,2.182698413
8,black,1,black8,black\black8,44100,1.207460317
9,black,1,black9,black\black9,44100,2.461337868
10,black,1,black10,black\black10,44100,2.600657596
11,black,1,black11,black\black11,44100,1.904058957
12,black,1,black12,black\black12,44100,1.996938776
13,black,1,black13,black\black13,44100,2.136258503
14,black,1,black14,black\black14,44100,2.600657596
15,black,1,black15,black\black15,44100,2.089818594
16,black,1,black16,black\black16,44100,2.322018141
17,black,1,black17,black\black17,44100,2.322018141
18,black,1,black18,black\black18,44100,1.439659864
19,black,1,black19,black\black19,44100,1.02170068
20,black,1,black20,black\black20,44100,1.253900227
21,black,1,black21,black\black21,44100,1.439659864
22,black,1,black22,black\black22,44100,1.71829932
23,black,1,black23,black\black23,44100,1.764739229
24,black,1,black24,black\black24,44100,1.625419501
25,black,1,black25,black\black25,44100,1.578979592
26,black,1,black26,black\black26,44100,1.625419501
27,black,1,black27,black\black27,44100,1.67185941
28,black,1,black28,black\black28,44100,1.764739229
29,black,1,black29,black\black29,44100,1.625419501
30,black,1,black30,black\black30,44100,1.71829932
31,black,1,black31,black\black31,44100,1.857619048
32,black,1,black32,black\black32,44100,1.578979592
33,black,1,black33,black\black33,44100,1.207460317
34,black,1,black34,black\black34,44100,1.207460317
35,black,1,black35,black\black35,44100,1.114580499
36,black,1,black36,black\black36,44100,1.346780045
37,black,1,black37,black\black37,44100,1.578979592
38,black,1,black38,black\black38,44100,1.811179138
39,black,1,black39,black\black39,44100,1.346780045
40,black,1,black40,black\black40,44100,1.253900227
41,black,1,black41,black\black41,44100,0.975260771
42,black,1,black42,black\black42,44100,1.114580499
43,black,1,black43,black\black43,44100,1.06814059
44,black,1,black44,black\black44,44100,1.114580499
45,black,1,black45,black\black45,44100,1.114580499
46,black,1,black46,black\black46,44100,1.253900227
47,black,1,black47,black\black47,44100,1.300340136
48,black,1,black48,black\black48,44100,1.114580499
49,black,1,black49,black\black49,44100,1.207460317
50,black,1,black50,black\black50,44100,1.207460317
51,black,1,black51,black\black51,44100,0.603741497
52,black,1,black52,black\black52,44100,2.507777778
53,black,1,black53,black\black53,44100,1.393219955
54,black,1,black54,black\black54,44100,1.02170068
55,black,1,black55,black\black55,44100,0.928820862
56,black,1,black56,black\black56,44100,1.253900227
57,black,1,black57,black\black57,44100,0.928820862
